idDeputado;nome;sgUF;sgPartido;idLegislatura;situacao;condicaoEleitoral;produtividade_legislativa;gasto_ceap_ajustado;pct_andamento;pct_fracasso;pct_sucesso;temas_destaque;quadrante;ranking
204407;Fernanda Melchionna;RS;PSOL;57;Exercício;Titular;214.1;777402.62;0.5973451327433629;0.39823008849557523;0.004424778761061947;Direitos Humanos e Minorias, Finanças Públicas e Orçamento e Administração Pública;Alta produtividade e baixo custo;43
204460;Carlos Jordy;RJ;PL;57;Exercício;Titular;163.5;695014.99;0.7993920972644377;0.1945288753799392;0.0060790273556231;Administração Pública, Direitos Humanos e Minorias e Defesa e Segurança;Alta produtividade e baixo custo;44
98148;Cobalchini;SC;MDB;57;Exercício;Titular;155.3;657852.93;0.6422535211267606;0.352112676056338;0.005633802816901409;Saúde, Finanças Públicas e Orçamento e Agricultura, Pecuária, Pesca e Extrativismo;Alta produtividade e baixo custo;45
74084;Raimundo Santos;PA;PSD;57;Exercício;Titular;923.7;856761.42;0.9361329833770778;0.06255468066491689;0.0013123359580052493;Direitos Humanos e Minorias, Saúde e Comunicações;Alta produtividade e baixo custo;45
220550;Mauricio Marcon;RS;PODE;57;Exercício;Titular;206.0;786794.04;0.7749360613810742;0.21739130434782608;0.0076726342710997444;Administração Pública, Defesa e Segurança e Direitos Humanos e Minorias;Alta produtividade e baixo custo;46
74856;Laura Carneiro;RJ;PSD;57;Exercício;Titular;596.6;863711.91;0.8592885375494071;0.13438735177865613;0.006324110671936759;Finanças Públicas e Orçamento, Direitos Humanos e Minorias e Saúde;Alta produtividade e baixo custo;47
160553;Antonio Brito;BA;PSD;57;Exercício;Titular;191.0;774747.31;0.8143525741029641;0.18252730109204368;0.0031201248049922;Direitos Humanos e Minorias, Finanças Públicas e Orçamento e Trabalho e Emprego;Alta produtividade e baixo custo;48
220712;Fausto Santos Jr.;AM;UNIÃO;57;Exercício;Titular;132.70000000000002;557429.43;0.5868852459016394;0.4065573770491803;0.006557377049180328;Defesa e Segurança, Viação, Transporte e Mobilidade e Direitos Humanos e Minorias;Alta produtividade e baixo custo;49
220619;Delegado Ramagem;RJ;PL;57;Exercício;Titular;149.4;671737.55;0.6622516556291391;0.32450331125827814;0.013245033112582781;Direito Penal e Processual Penal, Defesa e Segurança e Direitos Humanos e Minorias;Alta produtividade e baixo custo;50
204374;Bia Kicis;DF;PL;57;Exercício;Titular;226.1;830008.66;0.7469135802469136;0.2448559670781893;0.00823045267489712;Direitos Humanos e Minorias, Administração Pública e Defesa e Segurança;Alta produtividade e baixo custo;51
160548;Jonas Donizette;SP;PSB;57;Exercício;Titular;307.9;847938.36;0.8151898734177215;0.16962025316455695;0.015189873417721518;Direito Civil e Processual Civil, Direitos Humanos e Minorias e Trabalho e Emprego;Alta produtividade e baixo custo;52
220630;Pedro Aihara;MG;PRD;57;Exercício;Titular;266.90000000000003;842622.54;0.6659663865546218;0.3277310924369748;0.0063025210084033615;Defesa e Segurança, Saúde e Direitos Humanos e Minorias;Alta produtividade e baixo custo;52
141555;Vinicius Carvalho;SP;REPUBLICANOS;57;Exercício;Titular;165.3;743597.49;0.5224215246636771;0.47533632286995514;0.002242152466367713;Direitos Humanos e Minorias, Finanças Públicas e Orçamento e Administração Pública;Alta produtividade e baixo custo;52
206018;Célia Xakriabá;MG;PSOL;57;Exercício;Titular;193.3;791995.1;0.6747572815533981;0.3155339805825243;0.009708737864077669;Direitos Humanos e Minorias, Meio Ambiente e Desenvolvimento Sustentável e Finanças Públicas e Orçamento;Alta produtividade e baixo custo;53
220576;Alfredo Gaspar;AL;UNIÃO;57;Exercício;Titular;199.9;813085.68;0.7102564102564103;0.2717948717948718;0.017948717948717947;Administração Pública, Defesa e Segurança e Direitos Humanos e Minorias;Alta produtividade e baixo custo;54
178989;Renata Abreu;SP;PODE;57;Exercício;Titular;163.20000000000002;750645.59;0.629757785467128;0.3633217993079585;0.006920415224913495;Direitos Humanos e Minorias, Saúde e Finanças Públicas e Orçamento;Alta produtividade e baixo custo;55
220554;Alexandre Lindenmeyer;RS;PT;57;Exercício;Titular;149.9;707058.24;0.5867507886435331;0.41324921135646686;0.0;Direitos Humanos e Minorias, Administração Pública e Finanças Públicas e Orçamento;Alta produtividade e baixo custo;55
204472;José Medeiros;MT;PL;57;Exercício;Titular;362.1;869008.22;0.8408450704225352;0.15774647887323945;0.0014084507042253522;Administração Pública, Finanças Públicas e Orçamento e Defesa e Segurança;Alta produtividade e baixo custo;55
220605;Bandeira de Mello;RJ;PSB;57;Exercício;Titular;129.6;627093.22;0.4564459930313589;0.5331010452961672;0.010452961672473868;Finanças Públicas e Orçamento, Administração Pública e Processo Legislativo e Atuação Parlamentar;Alta produtividade e baixo custo;56
133439;André Figueiredo;CE;PDT;57;Exercício;Titular;252.9;860668.34;0.7073578595317725;0.2826086956521739;0.010033444816053512;Finanças Públicas e Orçamento, Administração Pública e Processo Legislativo e Atuação Parlamentar;Alta produtividade e baixo custo;57
157130;Túlio Gadêlha;PE;REDE;57;Exercício;Titular;166.6;779614.88;0.6417112299465241;0.35294117647058826;0.0053475935828877;Direitos Humanos e Minorias, Finanças Públicas e Orçamento e Administração Pública;Alta produtividade e baixo custo;58
220533;Prof. Reginaldo Veras;DF;PV;57;Exercício;Titular;133.0;650850.1;0.512987012987013;0.487012987012987;0.0;Direitos Humanos e Minorias, Educação e Administração Pública;Alta produtividade e baixo custo;58
137070;Vicentinho Júnior;TO;PP;57;Exercício;Titular;148.6;718188.79;0.4938650306748466;0.5030674846625767;0.003067484662576687;Finanças Públicas e Orçamento, Administração Pública e Direitos Humanos e Minorias;Alta produtividade e baixo custo;58
74356;Silas Câmara;AM;REPUBLICANOS;57;Exercício;Titular;394.0;886248.64;0.8802919708029197;0.11678832116788321;0.00291970802919708;Meio Ambiente e Desenvolvimento Sustentável, Administração Pública e Viação, Transporte e Mobilidade;Alta produtividade e alto custo;59
178929;Diego Garcia;PR;REPUBLICANOS;57;Exercício;Titular;188.6;819386.47;0.6013363028953229;0.39198218262806234;0.0066815144766146995;Saúde, Direitos Humanos e Minorias e Finanças Públicas e Orçamento;Alta produtividade e baixo custo;59
220613;Roberto Monteiro Pai;RJ;PL;57;Exercício;Titular;164.2;782582.66;0.6215469613259669;0.3756906077348066;0.0027624309392265192;Finanças Públicas e Orçamento, Defesa e Segurança e Saúde;Alta produtividade e baixo custo;60
74784;Luiza Erundina;SP;PSOL;57;Exercício;Titular;125.3;638385.1;0.6844106463878327;0.311787072243346;0.0038022813688212928;Direitos Humanos e Minorias, Finanças Públicas e Orçamento e Saúde;Alta produtividade e baixo custo;61
160592;Zeca Dirceu;PR;PT;57;Exercício;Titular;176.8;818174.18;0.8631090487238979;0.1345707656612529;0.002320185614849188;Finanças Públicas e Orçamento, Agricultura, Pecuária, Pesca e Extrativismo e Administração Pública;Alta produtividade e baixo custo;62
204455;Luiz Lima;RJ;PL;57;Exercício;Titular;192.3;831402.91;0.6624040920716112;0.33248081841432225;0.005115089514066497;Administração Pública, Defesa e Segurança e Saúde;Alta produtividade e baixo custo;63
160161;Marcelo Queiroz;RJ;PP;57;Exercício;Titular;173.4;809711.4;0.5530085959885387;0.44126074498567336;0.0057306590257879654;Meio Ambiente e Desenvolvimento Sustentável, Finanças Públicas e Orçamento e Direito Penal e Processual Penal;Alta produtividade e baixo custo;63
220615;Pastor Henrique Vieira;RJ;PSOL;57;Exercício;Titular;152.9;752815.96;0.6625766871165644;0.3374233128834356;0.0;Direitos Humanos e Minorias, Administração Pública e Saúde;Alta produtividade e baixo custo;63
220676;Andreia Siqueira;PA;MDB;57;Exercício;Titular;115.2;551461.9;0.5161290322580645;0.4798387096774194;0.004032258064516129;Direitos Humanos e Minorias, Finanças Públicas e Orçamento e Trabalho e Emprego;Alta produtividade e baixo custo;64
